id,question,A,B,C,D,correct_answer
70,Which Targaryen queen rode the dragon Vhagar?,Rhaenys Targaryen,Alysanne Targaryen,Visenya Targaryen,Daena Targaryen,C
71,"Who is known as ""The Sword of the Morning""?",Jaime Lannister,Ser Arthur Dayne,Ser Barristan Selmy,Ser Jorah Mormont,B
72,Who is the Master of Whisperers on the Small Council?,Petyr Baelish,Varys,Tyrion Lannister,Tywin Lannister,B
73,What are the words of House Arryn?,As High as Honor,Fire and Blood,Hear Me Roar!,Winter is Coming,A
74,Who commanded the rebel forces during Robert's Rebellion?,Eddard Stark,Jon Arryn,Robert Baratheon,Ser Arthur Dayne,C
75,"Which Targaryen king was known as ""The Mad King""?",Aegon V,Jaehaerys II,Aerys II,Viserys I Targaryen,C
76,"Who was known as ""The Beggar King""?",Viserys Targaryen,Rhaegar Targaryen,Daemon Blackfyre,Maegor I,A
77,What is the sigil of House Greyjoy?,A golden lion on a red field,A silver trout leaping on a blue field,A black kraken on a gold field,A red sun pierced by a golden spear on an orange field,C
78,"Who was known as ""The Conqueror""?",Daeron I,Aegon I,Viserys I,Maegor I,B
79,"Which house is known for the words ""We Do Not Sow""?",House Arryn,House Greyjoy,House Martell,House Tully,B
80,What castle serves as the seat of House Tyrell?,Highgarden,Storm's End,Dragonstone,Riverrun,A
81,"Which character is also known as ""The Hound""?",Gregor Clegane,Sandor Clegane,Bronn,Barristan Selmy,B
82,Who was the first Targaryen to sit the Iron Throne?,Maegor I,Aegon I,Viserys I,Jaehaerys I,B
83,"What event marks the start of ""A Game of Thrones""?",The War of the Five Kings,Robert’s Rebellion,The death of Jon Arryn,The Battle of Blackwater,C
84,Who was the king beyond the Wall at the start of the series?,Mance Rayder,Tormund Giantsbane,Craster,Jon Snow,A
85,Who built the Wall?,Bran the Builder,Aegon Targaryen,Lann the Clever,Doran Martell,A
86,Who was the last Lord Commander of the Night's Watch before Jon Snow?,Alliser Thorne,Benjen Stark,Jeor Mormont,Bowen Marsh,C
87,"Who is known as ""The Mountain""?",Sandor Clegane,Ser Loras Tyrell,Gregor Clegane,Ser Jorah Mormont,C
88,What is the ancestral seat of House Baratheon?,Storm's End,Dragonstone,King's Landing,Harrenhal,A
89,Who is the youngest Sand Snake?,Obara Sand,Tyene Sand,Nymeria Sand,Sarella Sand,B
90,What is the name of Jon Snow's sword?,Ice,Needle,Longclaw,Oathkeeper,C
91,Who was the first king to be crowned in the War of the Five Kings?,Robb Stark,Renly Baratheon,Joffrey Baratheon,Balon Greyjoy,C
92,Who was the King of the Iron Islands during Robert's Rebellion?,Balon Greyjoy,Euron Greyjoy,Rodrik Greyjoy,Victarion Greyjoy,A
93,Who is the mother of the Sand Snakes?,Elia Martell,Ellaria Sand,Arianne Martell,Obara Sand,B
94,"Who was known as ""The Blackfish""?",Edmure Tully,Hoster Tully,Brynden Tully,Lysa Tully,C
95,Who founded the Night's Watch?,Bran the Builder,Jon Snow,The Night King,Jorah Mormont,A
96,Who betrayed Eddard Stark in King's Landing?,Varys,Littlefinger,Renly Baratheon,Jaime Lannister,B
97,Who served as Hand of the King for Aerys II before Tywin Lannister?,Jon Arryn,Owen Merryweather,Harlan Grandison,Qarlton Chelsted,B
98,Which dragon did Aegon the Conqueror ride?,Vhagar,Caraxes,Balerion,Syrax,C
99,"Who was the ruler of Westeros during the events of ""The Hedge Knight""?",Aegon V,Maekar I,Daeron II,Aerys I,D
100,Which house is known for its dread fort and flayed man sigil?,House Stark,House Bolton,House Umber,House Manderly,B
101,"Who is the author of ""The World of Ice & Fire""?",Samwell Tarly,Bran Stark,Maester Yandel,Grand Maester Pycelle,C
102,"What city is known as ""the Queen of the Cities"" in Essos?",Volantis,Pentos,Lys,Meereen,A
103,Who was the last Dragonlord of Valyria?,Aenar The Exile,Daemon Blackfyre,Maelys the Monstrous,Aerion Brightflame,A
104,What is the name of the continent southeast of Essos?,Sothoryos,Ulthos,Yi Ti,Qarth,A
105,Who was Aegon V's sister-wife?,Daena Targaryen,Elia Martell,Betha Blackwood,Rhaenys Targaryen,C
106,"Who was known as ""The Rogue Prince""?",Daemon Targaryen,Baelor Breakspear,Jaehaerys I,Maegor I,A
107,Who was the first Hand of the King?,Aegon I,Orys Baratheon,Visenya Targaryen,Maegor the Cruel,B
108,"Who was known as ""The Great Bastard""?",Daemon Blackfyre,Jon Snow,Ramsay Bolton,Gendry,A
109,Who killed Aerys II Targaryen?,Robert Baratheon,Eddard Stark,Jaime Lannister,Tywin Lannister,C
110,What is the sigil of House Martell?,A golden rose on a green field,A red sun pierced by a golden spear on an orange field,A golden lion on a red field,A silver trout leaping on a blue field,B
